1	1	22-12-2018	-85.36731107	11.04679376	3.8	4.96
2	2	7-12-2018	-85.18277680	10.98440208	4.1	14.13
3	3	22-11-2018	-85.23022847	10.79722704	7.6	49.29
4	4	14-11-2018	-85.05096661	10.66724437	6.1	22.72
5	5	12-10-2018	-85.82073814	10.50606586	2.8	49.00
6	6	28-9-2018	-85.66256591	10.26169844	7.9	52.81
7	7	13-9-2018	-85.24604569	10.37088388	3.9	61.56
8	8	8-9-2018	-85.07732865	10.32928943	2.9	60.76
9	9	27-8-2018	-84.82425308	10.41767764	3.7	32.88
10	10	20-8-2018	-84.65026362	10.22530329	3.8	36.52
11	11	18-8-2018	-84.61862917	10.41247834	3.3	3.70
12	12	3-8-2018	-84.46572935	10.31889081	6.8	4.62
13	13	26-7-2018	-84.47627417	10.49046794	5.4	46.31
14	14	29-6-2018	-84.30755712	10.41247834	6.6	42.64
15	15	19-6-2018	-84.22847100	10.19930676	5.1	62.80
16	16	17-6-2018	-83.96485062	10.11091854	5.2	50.42
17	17	6-6-2018	-84.02284710	10.36048527	7.5	51.71
18	18	5-6-2018	-84.09138840	9.93934142	6.5	38.75
19	19	30-5-2018	-83.86994728	9.78856153	3.5	15.25
20	20	16-5-2018	-84.59226714	9.76256499	2.4	62.77
21	21	1-5-2018	-84.45518453	9.64298094	2.1	36.89
22	22	26-4-2018	-83.70123023	9.62218371	2.8	28.26
23	23	12-4-2018	-83.69595782	9.82495667	5.7	40.39
24	24	24-3-2018	-83.54305800	9.66377816	5.2	62.08
25	25	21-3-2018	-83.36906854	9.70537262	7.7	61.30
26	26	8-3-2018	-83.44288225	9.47660312	5.0	63.83
27	27	4-3-2018	-83.25834798	9.27902946	6.1	46.62
28	28	25-2-2018	-83.24253076	9.41421144	4.2	42.20
29	29	19-2-2018	-83.05799649	9.40381282	7.6	4.54
30	30	9-1-2018	-82.95782074	9.11265165	4.8	57.30
31	1	31-12-2017	-85.47803163	11.03639515	5.1	11.81
32	2	13-11-2017	-85.26186292	10.98440208	6.6	12.74
33	3	5-11-2017	-85.30404218	10.82322357	5.4	25.46
34	4	3-11-2017	-84.91915641	10.72963605	7.3	62.36
35	5	15-10-2017	-84.96660808	10.97400347	5.8	19.74
36	6	14-10-2017	-84.89279438	10.50606586	3.1	64.30
37	7	12-10-2017	-84.56590510	10.30849220	3.4	22.45
38	8	7-9-2017	-84.61335677	10.56325823	3.9	13.96
39	9	4-9-2017	-84.29701230	10.34488735	5.3	0.89
40	10	27-8-2017	-84.41827768	10.09012132	3.3	54.15
41	11	11-8-2017	-84.15465729	10.00693241	4.7	17.27
42	12	28-7-2017	-83.93848858	10.04332756	4.5	48.94
43	13	26-7-2017	-84.09666081	9.83535529	4.2	9.97
44	14	23-7-2017	-83.92794376	9.79896014	5.8	2.20
45	15	30-6-2017	-84.27592267	9.71577123	4.8	64.17
46	16	25-6-2017	-84.12302285	9.61698440	5.6	29.71
47	17	24-6-2017	-84.23374341	9.46620451	2.1	61.37
48	18	22-6-2017	-83.95430580	9.48180243	5.6	59.24
49	19	15-6-2017	-83.85413005	9.60138648	4.1	69.20
50	20	8-6-2017	-83.64323374	9.68457539	4.5	7.20
51	21	14-5-2017	-83.66432337	9.46620451	4.2	37.48
52	22	11-5-2017	-83.33216169	9.41941075	5.4	36.63
53	23	1-5-2017	-83.24780316	9.10225303	7.9	41.72
54	24	19-4-2017	-83.11072056	9.28942808	5.4	51.80
55	25	13-3-2017	-83.11599297	9.57538995	7.2	23.36
56	26	13-3-2017	-83.26889279	10.20450607	2.2	5.50
57	27	6-3-2017	-83.12126538	10.06932409	5.7	66.23
58	28	2-3-2017	-82.84182777	9.09705373	7.2	38.28
59	29	26-1-2017	-83.00000000	8.87868284	2.7	8.78
60	30	14-1-2017	-83.04217926	9.07105719	2.1	53.24
61	1	28-11-2016	-84.99824253	10.37608319	7.0	51.01
62	2	5-9-2016	-84.80843585	10.45927210	6.5	52.10
63	3	21-8-2016	-84.69771529	10.26169844	4.5	37.06
64	4	15-7-2016	-84.42882250	10.32409012	2.1	30.86
65	5	1-3-2016	-84.39718805	10.09012132	7.5	7.50
66	6	6-1-2016	-84.12829525	10.23570191	5.1	7.62
67	7	22-12-2015	-84.24428822	10.45407279	2.4	34.37
68	8	22-12-2015	-84.12829525	10.12651646	3.7	42.56
69	9	13-12-2015	-85.06151142	10.01213172	3.0	23.41
70	10	28-10-2015	-84.68717047	9.92374350	3.0	22.12
71	11	27-10-2015	-84.22319859	9.82495667	2.8	15.81
72	12	4-10-2015	-84.13356766	9.94974003	5.0	18.41
